NO,TYPE,DRAWING,DISPFLG,#500,#501,#600,#601,#1,#602,,,,,,
7921,HTPA60S3M150-B,,1,56.53,60,8,relationS3M,60,,,,,,,
7922,HTPA72S3M150-B,,1,67.99,72,8,relationS3M,72,,,,,,,
7923,HTPB14S3M060-A,,1,12.61,14,5,relationS3M,14,,,,,,,
7924,HTPB15S3M060-A,,1,13.56,15,5,relationS3M,15,,,,,,,
7925,HTPB16S3M060-A,,1,14.52,16,5,relationS3M,16,,,,,,,
7926,HTPB18S3M060-A,,1,16.43,18,6,relationS3M,18,,,,,,,
7927,HTPB19S3M060-A,,1,17.38,19,6,relationS3M,19,,,,,,,
7928,HTPB20S3M060-A,,1,18.34,20,6,relationS3M,20,,,,,,,
7929,HTPB22S3M060-A,,1,20.25,22,6,relationS3M,22,,,,,,,
7930,HTPB24S3M060-A,,1,22.16,24,6,relationS3M,24,,,,,,,
7931,HTPB25S3M060-A,,1,23.11,25,7,relationS3M,25,,,,,,,
7932,HTPB26S3M060-A,,1,24.07,26,7,relationS3M,26,,,,,,,
7933,HTPB28S3M060-A,,1,25.98,28,7,relationS3M,28,,,,,,,
7934,HTPB30S3M060-A,,1,27.89,30,7,relationS3M,30,,,,,,,
7935,HTPB32S3M060-A,,1,29.8,32,7,relationS3M,32,,,,,,,
7936,HTPB34S3M060-A,,1,31.71,34,7,relationS3M,34,,,,,,,
7937,HTPB36S3M060-A,,1,33.62,36,7,relationS3M,36,,,,,,,
7938,HTPB40S3M060-A,,1,37.44,40,7,relationS3M,40,,,,,,,
7939,HTPB44S3M060-A,,1,41.25,44,8,relationS3M,44,,,,,,,
7940,HTPB48S3M060-A,,1,45.07,48,8,relationS3M,48,,,,,,,
7941,HTPB50S3M060-A,,1,46.98,50,8,relationS3M,50,,,,,,,
7942,HTPB60S3M060-A,,1,56.53,60,8,relationS3M,60,,,,,,,
7943,HTPB72S3M060-A,,1,67.99,72,8,relationS3M,72,,,,,,,
7944,HTPB14S3M100-A,,1,12.61,14,5,relationS3M,14,,,,,,,
7945,HTPB15S3M100-A,,1,13.56,15,5,relationS3M,15,,,,,,,
7946,HTPB16S3M100-A,,1,14.52,16,5,relationS3M,16,,,,,,,
7947,HTPB18S3M100-A,,1,16.43,18,6,relationS3M,18,,,,,,,
7948,HTPB19S3M100-A,,1,17.38,19,6,relationS3M,19,,,,,,,
7949,HTPB20S3M100-A,,1,18.34,20,6,relationS3M,20,,,,,,,
7950,HTPB22S3M100-A,,1,20.25,22,6,relationS3M,22,,,,,,,
7951,HTPB24S3M100-A,,1,22.16,24,6,relationS3M,24,,,,,,,
7952,HTPB25S3M100-A,,1,23.11,25,7,relationS3M,25,,,,,,,
7953,HTPB26S3M100-A,,1,24.07,26,7,relationS3M,26,,,,,,,
7954,HTPB28S3M100-A,,1,25.98,28,7,relationS3M,28,,,,,,,
7955,HTPB30S3M100-A,,1,27.89,30,7,relationS3M,30,,,,,,,
7956,HTPB32S3M100-A,,1,29.8,32,7,relationS3M,32,,,,,,,
7957,HTPB34S3M100-A,,1,31.71,34,7,relationS3M,34,,,,,,,
7958,HTPB36S3M100-A,,1,33.62,36,7,relationS3M,36,,,,,,,
7959,HTPB40S3M100-A,,1,37.44,40,7,relationS3M,40,,,,,,,
7960,HTPB44S3M100-A,,1,41.25,44,8,relationS3M,44,,,,,,,
7961,HTPB48S3M100-A,,1,45.07,48,8,relationS3M,48,,,,,,,
7962,HTPB50S3M100-A,,1,46.98,50,8,relationS3M,50,,,,,,,
7963,HTPB60S3M100-A,,1,56.53,60,8,relationS3M,60,,,,,,,
7964,HTPB72S3M100-A,,1,67.99,72,8,relationS3M,72,,,,,,,
7965,HTPB14S3M150-A,,1,12.61,14,5,relationS3M,14,,,,,,,
7966,HTPB15S3M150-A,,1,13.56,15,5,relationS3M,15,,,,,,,
7967,HTPB16S3M150-A,,1,14.52,16,5,relationS3M,16,,,,,,,
7968,HTPB18S3M150-A,,1,16.43,18,6,relationS3M,18,,,,,,,
7969,HTPB19S3M150-A,,1,17.38,19,6,relationS3M,19,,,,,,,
7970,HTPB20S3M150-A,,1,18.34,20,6,relationS3M,20,,,,,,,
7971,HTPB22S3M150-A,,1,20.25,22,6,relationS3M,22,,,,,,,
7972,HTPB24S3M150-A,,1,22.16,24,6,relationS3M,24,,,,,,,
7973,HTPB25S3M150-A,,1,23.11,25,7,relationS3M,25,,,,,,,
7974,HTPB26S3M150-A,,1,24.07,26,7,relationS3M,26,,,,,,,
7975,HTPB28S3M150-A,,1,25.98,28,7,relationS3M,28,,,,,,,
7976,HTPB30S3M150-A,,1,27.89,30,7,relationS3M,30,,,,,,,
7977,HTPB32S3M150-A,,1,29.8,32,7,relationS3M,32,,,,,,,
7978,HTPB34S3M150-A,,1,31.71,34,7,relationS3M,34,,,,,,,
7979,HTPB36S3M150-A,,1,33.62,36,7,relationS3M,36,,,,,,,
7980,HTPB40S3M150-A,,1,37.44,40,7,relationS3M,40,,,,,,,
7981,HTPB44S3M150-A,,1,41.25,44,8,relationS3M,44,,,,,,,
7982,HTPB48S3M150-A,,1,45.07,48,8,relationS3M,48,,,,,,,
7983,HTPB50S3M150-A,,1,46.98,50,8,relationS3M,50,,,,,,,
7984,HTPB60S3M150-A,,1,56.53,60,8,relationS3M,60,,,,,,,
7985,HTPB72S3M150-A,,1,67.99,72,8,relationS3M,72,,,,,,,
7986,HTPB14S3M060-K,,1,12.61,14,5,relationS3M,14,,,,,,,
7987,HTPB15S3M060-K,,1,13.56,15,5,relationS3M,15,,,,,,,
7988,HTPB16S3M060-K,,1,14.52,16,5,relationS3M,16,,,,,,,
7989,HTPB18S3M060-K,,1,16.43,18,6,relationS3M,18,,,,,,,
7990,HTPB19S3M060-K,,1,17.38,19,6,relationS3M,19,,,,,,,
7991,HTPB20S3M060-K,,1,18.34,20,6,relationS3M,20,,,,,,,
7992,HTPB22S3M060-K,,1,20.25,22,6,relationS3M,22,,,,,,,
7993,HTPB14S3M100-K,,1,12.61,14,5,relationS3M,14,,,,,,,
7994,HTPB15S3M100-K,,1,13.56,15,5,relationS3M,15,,,,,,,
7995,HTPB16S3M100-K,,1,14.52,16,5,relationS3M,16,,,,,,,
7996,HTPB18S3M100-K,,1,16.43,18,6,relationS3M,18,,,,,,,
7997,HTPB19S3M100-K,,1,17.38,19,6,relationS3M,19,,,,,,,
7998,HTPB20S3M100-K,,1,18.34,20,6,relationS3M,20,,,,,,,
7999,HTPB22S3M100-K,,1,20.25,22,6,relationS3M,22,,,,,,,
8000,HTPB14S3M150-K,,1,12.61,14,5,relationS3M,14,,,,,,,
8001,HTPB15S3M150-K,,1,13.56,15,5,relationS3M,15,,,,,,,
8002,HTPB16S3M150-K,,1,14.52,16,5,relationS3M,16,,,,,,,
8003,HTPB18S3M150-K,,1,16.43,18,6,relationS3M,18,,,,,,,
8004,HTPB19S3M150-K,,1,17.38,19,6,relationS3M,19,,,,,,,
8005,HTPB20S3M150-K,,1,18.34,20,6,relationS3M,20,,,,,,,
8006,HTPB22S3M150-K,,1,20.25,22,6,relationS3M,22,,,,,,,
8007,HTPB24S3M060-B,,1,22.16,24,6,relationS3M,24,,,,,,,
8008,HTPB25S3M060-B,,1,23.11,25,7,relationS3M,25,,,,,,,
8009,HTPB26S3M060-B,,1,24.07,26,7,relationS3M,26,,,,,,,
8010,HTPB28S3M060-B,,1,25.98,28,7,relationS3M,28,,,,,,,
8011,HTPB30S3M060-B,,1,27.89,30,7,relationS3M,30,,,,,,,
8012,HTPB32S3M060-B,,1,29.8,32,7,relationS3M,32,,,,,,,
8013,HTPB34S3M060-B,,1,31.71,34,7,relationS3M,34,,,,,,,
8014,HTPB36S3M060-B,,1,33.62,36,7,relationS3M,36,,,,,,,
8015,HTPB40S3M060-B,,1,37.44,40,7,relationS3M,40,,,,,,,
8016,HTPB44S3M060-B,,1,41.25,44,8,relationS3M,44,,,,,,,
8017,HTPB48S3M060-B,,1,45.07,48,8,relationS3M,48,,,,,,,
8018,HTPB50S3M060-B,,1,46.98,50,8,relationS3M,50,,,,,,,
8019,HTPB60S3M060-B,,1,56.53,60,8,relationS3M,60,,,,,,,
8020,HTPB72S3M060-B,,1,67.99,72,8,relationS3M,72,,,,,,,
8021,HTPB24S3M100-B,,1,22.16,24,6,relationS3M,24,,,,,,,
8022,HTPB25S3M100-B,,1,23.11,25,7,relationS3M,25,,,,,,,
8023,HTPB26S3M100-B,,1,24.07,26,7,relationS3M,26,,,,,,,
8024,HTPB28S3M100-B,,1,25.98,28,7,relationS3M,28,,,,,,,
8025,HTPB30S3M100-B,,1,27.89,30,7,relationS3M,30,,,,,,,
8026,HTPB32S3M100-B,,1,29.8,32,7,relationS3M,32,,,,,,,
8027,HTPB34S3M100-B,,1,31.71,34,7,relationS3M,34,,,,,,,
8028,HTPB36S3M100-B,,1,33.62,36,7,relationS3M,36,,,,,,,
8029,HTPB40S3M100-B,,1,37.44,40,7,relationS3M,40,,,,,,,
8030,HTPB44S3M100-B,,1,41.25,44,8,relationS3M,44,,,,,,,
8031,HTPB48S3M100-B,,1,45.07,48,8,relationS3M,48,,,,,,,
8032,HTPB50S3M100-B,,1,46.98,50,8,relationS3M,50,,,,,,,
8033,HTPB60S3M100-B,,1,56.53,60,8,relationS3M,60,,,,,,,
8034,HTPB72S3M100-B,,1,67.99,72,8,relationS3M,72,,,,,,,
8035,HTPB24S3M150-B,,1,22.16,24,6,relationS3M,24,,,,,,,
8036,HTPB25S3M150-B,,1,23.11,25,7,relationS3M,25,,,,,,,
8037,HTPB26S3M150-B,,1,24.07,26,7,relationS3M,26,,,,,,,
8038,HTPB28S3M150-B,,1,25.98,28,7,relationS3M,28,,,,,,,
8039,HTPB30S3M150-B,,1,27.89,30,7,relationS3M,30,,,,,,,
8040,HTPB32S3M150-B,,1,29.8,32,7,relationS3M,32,,,,,,,
8041,HTPB34S3M150-B,,1,31.71,34,7,relationS3M,34,,,,,,,
8042,HTPB36S3M150-B,,1,33.62,36,7,relationS3M,36,,,,,,,
8043,HTPB40S3M150-B,,1,37.44,40,7,relationS3M,40,,,,,,,
8044,HTPB44S3M150-B,,1,41.25,44,8,relationS3M,44,,,,,,,
8045,HTPB48S3M150-B,,1,45.07,48,8,relationS3M,48,,,,,,,
8046,HTPB50S3M150-B,,1,46.98,50,8,relationS3M,50,,,,,,,
8047,HTPB60S3M150-B,,1,56.53,60,8,relationS3M,60,,,,,,,
8048,HTPB72S3M150-B,,1,67.99,72,8,relationS3M,72,,,,,,,
8049,HTPK14S3M060-A,,1,12.61,14,5,relationS3M,14,,,,,,,
8050,HTPK15S3M060-A,,1,13.56,15,5,relationS3M,15,,,,,,,
8051,HTPK16S3M060-A,,1,14.52,16,5,relationS3M,16,,,,,,,
8052,HTPK18S3M060-A,,1,16.43,18,6,relationS3M,18,,,,,,,
8053,HTPK19S3M060-A,,1,17.38,19,6,relationS3M,19,,,,,,,
8054,HTPK20S3M060-A,,1,18.34,20,6,relationS3M,20,,,,,,,
8055,HTPK22S3M060-A,,1,20.25,22,6,relationS3M,22,,,,,,,
8056,HTPK24S3M060-A,,1,22.16,24,6,relationS3M,24,,,,,,,
8057,HTPK25S3M060-A,,1,23.11,25,7,relationS3M,25,,,,,,,
8058,HTPK26S3M060-A,,1,24.07,26,7,relationS3M,26,,,,,,,
8059,HTPK28S3M060-A,,1,25.98,28,7,relationS3M,28,,,,,,,
8060,HTPK30S3M060-A,,1,27.89,30,7,relationS3M,30,,,,,,,
8061,HTPK32S3M060-A,,1,29.8,32,7,relationS3M,32,,,,,,,
8062,HTPK34S3M060-A,,1,31.71,34,7,relationS3M,34,,,,,,,
8063,HTPK36S3M060-A,,1,33.62,36,7,relationS3M,36,,,,,,,
8064,HTPK40S3M060-A,,1,37.44,40,7,relationS3M,40,,,,,,,
8065,HTPK44S3M060-A,,1,41.25,44,8,relationS3M,44,,,,,,,
8066,HTPK48S3M060-A,,1,45.07,48,8,relationS3M,48,,,,,,,
8067,HTPK50S3M060-A,,1,46.98,50,8,relationS3M,50,,,,,,,
8068,HTPK60S3M060-A,,1,56.53,60,8,relationS3M,60,,,,,,,
8069,HTPK72S3M060-A,,1,67.99,72,8,relationS3M,72,,,,,,,
8070,HTPK14S3M100-A,,1,12.61,14,5,relationS3M,14,,,,,,,
8071,HTPK15S3M100-A,,1,13.56,15,5,relationS3M,15,,,,,,,
8072,HTPK16S3M100-A,,1,14.52,16,5,relationS3M,16,,,,,,,
8073,HTPK18S3M100-A,,1,16.43,18,6,relationS3M,18,,,,,,,
8074,HTPK19S3M100-A,,1,17.38,19,6,relationS3M,19,,,,,,,
8075,HTPK20S3M100-A,,1,18.34,20,6,relationS3M,20,,,,,,,
8076,HTPK22S3M100-A,,1,20.25,22,6,relationS3M,22,,,,,,,
8077,HTPK24S3M100-A,,1,22.16,24,6,relationS3M,24,,,,,,,
8078,HTPK25S3M100-A,,1,23.11,25,7,relationS3M,25,,,,,,,
8079,HTPK26S3M100-A,,1,24.07,26,7,relationS3M,26,,,,,,,
8080,HTPK28S3M100-A,,1,25.98,28,7,relationS3M,28,,,,,,,
8081,HTPK30S3M100-A,,1,27.89,30,7,relationS3M,30,,,,,,,
8082,HTPK32S3M100-A,,1,29.8,32,7,relationS3M,32,,,,,,,
8083,HTPK34S3M100-A,,1,31.71,34,7,relationS3M,34,,,,,,,
8084,HTPK36S3M100-A,,1,33.62,36,7,relationS3M,36,,,,,,,
8085,HTPK40S3M100-A,,1,37.44,40,7,relationS3M,40,,,,,,,
8086,HTPK44S3M100-A,,1,41.25,44,8,relationS3M,44,,,,,,,
8087,HTPK48S3M100-A,,1,45.07,48,8,relationS3M,48,,,,,,,
8088,HTPK50S3M100-A,,1,46.98,50,8,relationS3M,50,,,,,,,
8089,HTPK60S3M100-A,,1,56.53,60,8,relationS3M,60,,,,,,,
8090,HTPK72S3M100-A,,1,67.99,72,8,relationS3M,72,,,,,,,
8091,HTPK14S3M150-A,,1,12.61,14,5,relationS3M,14,,,,,,,
8092,HTPK15S3M150-A,,1,13.56,15,5,relationS3M,15,,,,,,,
8093,HTPK16S3M150-A,,1,14.52,16,5,relationS3M,16,,,,,,,
8094,HTPK18S3M150-A,,1,16.43,18,6,relationS3M,18,,,,,,,
8095,HTPK19S3M150-A,,1,17.38,19,6,relationS3M,19,,,,,,,
8096,HTPK20S3M150-A,,1,18.34,20,6,relationS3M,20,,,,,,,
8097,HTPK22S3M150-A,,1,20.25,22,6,relationS3M,22,,,,,,,
8098,HTPK24S3M150-A,,1,22.16,24,6,relationS3M,24,,,,,,,
8099,HTPK25S3M150-A,,1,23.11,25,7,relationS3M,25,,,,,,,
8100,HTPK26S3M150-A,,1,24.07,26,7,relationS3M,26,,,,,,,
8101,HTPK28S3M150-A,,1,25.98,28,7,relationS3M,28,,,,,,,
8102,HTPK30S3M150-A,,1,27.89,30,7,relationS3M,30,,,,,,,
8103,HTPK32S3M150-A,,1,29.8,32,7,relationS3M,32,,,,,,,
8104,HTPK34S3M150-A,,1,31.71,34,7,relationS3M,34,,,,,,,
8105,HTPK36S3M150-A,,1,33.62,36,7,relationS3M,36,,,,,,,
8106,HTPK40S3M150-A,,1,37.44,40,7,relationS3M,40,,,,,,,
8107,HTPK44S3M150-A,,1,41.25,44,8,relationS3M,44,,,,,,,
8108,HTPK48S3M150-A,,1,45.07,48,8,relationS3M,48,,,,,,,
8109,HTPK50S3M150-A,,1,46.98,50,8,relationS3M,50,,,,,,,
8110,HTPK60S3M150-A,,1,56.53,60,8,relationS3M,60,,,,,,,
8111,HTPK72S3M150-A,,1,67.99,72,8,relationS3M,72,,,,,,,
8112,HTPK14S3M060-K,,1,12.61,14,5,relationS3M,14,,,,,,,
8113,HTPK15S3M060-K,,1,13.56,15,5,relationS3M,15,,,,,,,
8114,HTPK16S3M060-K,,1,14.52,16,5,relationS3M,16,,,,,,,
8115,HTPK18S3M060-K,,1,16.43,18,6,relationS3M,18,,,,,,,
8116,HTPK19S3M060-K,,1,17.38,19,6,relationS3M,19,,,,,,,
8117,HTPK20S3M060-K,,1,18.34,20,6,relationS3M,20,,,,,,,
8118,HTPK22S3M060-K,,1,20.25,22,6,relationS3M,22,,,,,,,
8119,HTPK14S3M100-K,,1,12.61,14,5,relationS3M,14,,,,,,,
8120,HTPK15S3M100-K,,1,13.56,15,5,relationS3M,15,,,,,,,
8121,HTPK16S3M100-K,,1,14.52,16,5,relationS3M,16,,,,,,,
8122,HTPK18S3M100-K,,1,16.43,18,6,relationS3M,18,,,,,,,
8123,HTPK19S3M100-K,,1,17.38,19,6,relationS3M,19,,,,,,,
8124,HTPK20S3M100-K,,1,18.34,20,6,relationS3M,20,,,,,,,
8125,HTPK22S3M100-K,,1,20.25,22,6,relationS3M,22,,,,,,,
8126,HTPK14S3M150-K,,1,12.61,14,5,relationS3M,14,,,,,,,
8127,HTPK15S3M150-K,,1,13.56,15,5,relationS3M,15,,,,,,,
8128,HTPK16S3M150-K,,1,14.52,16,5,relationS3M,16,,,,,,,
8129,HTPK18S3M150-K,,1,16.43,18,6,relationS3M,18,,,,,,,
8130,HTPK19S3M150-K,,1,17.38,19,6,relationS3M,19,,,,,,,
8131,HTPK20S3M150-K,,1,18.34,20,6,relationS3M,20,,,,,,,
8132,HTPK22S3M150-K,,1,20.25,22,6,relationS3M,22,,,,,,,
8133,HTPK24S3M060-B,,1,22.16,24,6,relationS3M,24,,,,,,,
8134,HTPK25S3M060-B,,1,23.11,25,7,relationS3M,25,,,,,,,
8135,HTPK26S3M060-B,,1,24.07,26,7,relationS3M,26,,,,,,,
8136,HTPK28S3M060-B,,1,25.98,28,7,relationS3M,28,,,,,,,
8137,HTPK30S3M060-B,,1,27.89,30,7,relationS3M,30,,,,,,,
8138,HTPK32S3M060-B,,1,29.8,32,7,relationS3M,32,,,,,,,
8139,HTPK34S3M060-B,,1,31.71,34,7,relationS3M,34,,,,,,,
8140,HTPK36S3M060-B,,1,33.62,36,7,relationS3M,36,,,,,,,
8141,HTPK40S3M060-B,,1,37.44,40,7,relationS3M,40,,,,,,,
8142,HTPK44S3M060-B,,1,41.25,44,8,relationS3M,44,,,,,,,
8143,HTPK48S3M060-B,,1,45.07,48,8,relationS3M,48,,,,,,,
8144,HTPK50S3M060-B,,1,46.98,50,8,relationS3M,50,,,,,,,
8145,HTPK60S3M060-B,,1,56.53,60,8,relationS3M,60,,,,,,,
8146,HTPK72S3M060-B,,1,67.99,72,8,relationS3M,72,,,,,,,
8147,HTPK24S3M100-B,,1,22.16,24,6,relationS3M,24,,,,,,,
8148,HTPK25S3M100-B,,1,23.11,25,7,relationS3M,25,,,,,,,
8149,HTPK26S3M100-B,,1,24.07,26,7,relationS3M,26,,,,,,,
8150,HTPK28S3M100-B,,1,25.98,28,7,relationS3M,28,,,,,,,
8151,HTPK30S3M100-B,,1,27.89,30,7,relationS3M,30,,,,,,,
8152,HTPK32S3M100-B,,1,29.8,32,7,relationS3M,32,,,,,,,
8153,HTPK34S3M100-B,,1,31.71,34,7,relationS3M,34,,,,,,,
8154,HTPK36S3M100-B,,1,33.62,36,7,relationS3M,36,,,,,,,
8155,HTPK40S3M100-B,,1,37.44,40,7,relationS3M,40,,,,,,,
8156,HTPK44S3M100-B,,1,41.25,44,8,relationS3M,44,,,,,,,
8157,HTPK48S3M100-B,,1,45.07,48,8,relationS3M,48,,,,,,,
8158,HTPK50S3M100-B,,1,46.98,50,8,relationS3M,50,,,,,,,
8159,HTPK60S3M100-B,,1,56.53,60,8,relationS3M,60,,,,,,,
8160,HTPK72S3M100-B,,1,67.99,72,8,relationS3M,72,,,,,,,
8161,HTPK24S3M150-B,,1,22.16,24,6,relationS3M,24,,,,,,,
8162,HTPK25S3M150-B,,1,23.11,25,7,relationS3M,25,,,,,,,
8163,HTPK26S3M150-B,,1,24.07,26,7,relationS3M,26,,,,,,,
8164,HTPK28S3M150-B,,1,25.98,28,7,relationS3M,28,,,,,,,
8165,HTPK30S3M150-B,,1,27.89,30,7,relationS3M,30,,,,,,,
8166,HTPK32S3M150-B,,1,29.8,32,7,relationS3M,32,,,,,,,
8167,HTPK34S3M150-B,,1,31.71,34,7,relationS3M,34,,,,,,,
8168,HTPK36S3M150-B,,1,33.62,36,7,relationS3M,36,,,,,,,
8169,HTPK40S3M150-B,,1,37.44,40,7,relationS3M,40,,,,,,,
8170,HTPK44S3M150-B,,1,41.25,44,8,relationS3M,44,,,,,,,
8171,HTPK48S3M150-B,,1,45.07,48,8,relationS3M,48,,,,,,,
8172,HTPK50S3M150-B,,1,46.98,50,8,relationS3M,50,,,,,,,
8173,HTPK60S3M150-B,,1,56.53,60,8,relationS3M,60,,,,,,,
8174,HTPK72S3M150-B,,1,67.99,72,8,relationS3M,72,,,,,,,
8175,HTPN14S3M060-A,,1,12.61,14,5,relationS3M,14,,,,,,,
8176,HTPN15S3M060-A,,1,13.56,15,5,relationS3M,15,,,,,,,
8177,HTPN16S3M060-A,,1,14.52,16,5,relationS3M,16,,,,,,,
8178,HTPN18S3M060-A,,1,16.43,18,6,relationS3M,18,,,,,,,
8179,HTPN19S3M060-A,,1,17.38,19,6,relationS3M,19,,,,,,,
8180,HTPN20S3M060-A,,1,18.34,20,6,relationS3M,20,,,,,,,
8181,HTPN22S3M060-A,,1,20.25,22,6,relationS3M,22,,,,,,,
8182,HTPN24S3M060-A,,1,22.16,24,6,relationS3M,24,,,,,,,
8183,HTPN25S3M060-A,,1,23.11,25,7,relationS3M,25,,,,,,,
8184,HTPN26S3M060-A,,1,24.07,26,7,relationS3M,26,,,,,,,
8185,HTPN28S3M060-A,,1,25.98,28,7,relationS3M,28,,,,,,,
8186,HTPN30S3M060-A,,1,27.89,30,7,relationS3M,30,,,,,,,
8187,HTPN32S3M060-A,,1,29.8,32,7,relationS3M,32,,,,,,,
8188,HTPN34S3M060-A,,1,31.71,34,7,relationS3M,34,,,,,,,
8189,HTPN36S3M060-A,,1,33.62,36,7,relationS3M,36,,,,,,,
8190,HTPN40S3M060-A,,1,37.44,40,7,relationS3M,40,,,,,,,
8191,HTPN44S3M060-A,,1,41.25,44,8,relationS3M,44,,,,,,,
8192,HTPN48S3M060-A,,1,45.07,48,8,relationS3M,48,,,,,,,
8193,HTPN50S3M060-A,,1,46.98,50,8,relationS3M,50,,,,,,,
8194,HTPN60S3M060-A,,1,56.53,60,8,relationS3M,60,,,,,,,
8195,HTPN72S3M060-A,,1,67.99,72,8,relationS3M,72,,,,,,,
8196,HTPN14S3M100-A,,1,12.61,14,5,relationS3M,14,,,,,,,
8197,HTPN15S3M100-A,,1,13.56,15,5,relationS3M,15,,,,,,,
8198,HTPN16S3M100-A,,1,14.52,16,5,relationS3M,16,,,,,,,
8199,HTPN18S3M100-A,,1,16.43,18,6,relationS3M,18,,,,,,,
8200,HTPN19S3M100-A,,1,17.38,19,6,relationS3M,19,,,,,,,
8201,HTPN20S3M100-A,,1,18.34,20,6,relationS3M,20,,,,,,,
8202,HTPN22S3M100-A,,1,20.25,22,6,relationS3M,22,,,,,,,
8203,HTPN24S3M100-A,,1,22.16,24,6,relationS3M,24,,,,,,,
8204,HTPN25S3M100-A,,1,23.11,25,7,relationS3M,25,,,,,,,
8205,HTPN26S3M100-A,,1,24.07,26,7,relationS3M,26,,,,,,,
8206,HTPN28S3M100-A,,1,25.98,28,7,relationS3M,28,,,,,,,
8207,HTPN30S3M100-A,,1,27.89,30,7,relationS3M,30,,,,,,,
8208,HTPN32S3M100-A,,1,29.8,32,7,relationS3M,32,,,,,,,
8209,HTPN34S3M100-A,,1,31.71,34,7,relationS3M,34,,,,,,,
8210,HTPN36S3M100-A,,1,33.62,36,7,relationS3M,36,,,,,,,
8211,HTPN40S3M100-A,,1,37.44,40,7,relationS3M,40,,,,,,,
8212,HTPN44S3M100-A,,1,41.25,44,8,relationS3M,44,,,,,,,
8213,HTPN48S3M100-A,,1,45.07,48,8,relationS3M,48,,,,,,,
8214,HTPN50S3M100-A,,1,46.98,50,8,relationS3M,50,,,,,,,
8215,HTPN60S3M100-A,,1,56.53,60,8,relationS3M,60,,,,,,,
8216,HTPN72S3M100-A,,1,67.99,72,8,relationS3M,72,,,,,,,
8217,HTPN14S3M150-A,,1,12.61,14,5,relationS3M,14,,,,,,,
8218,HTPN15S3M150-A,,1,13.56,15,5,relationS3M,15,,,,,,,
8219,HTPN16S3M150-A,,1,14.52,16,5,relationS3M,16,,,,,,,
8220,HTPN18S3M150-A,,1,16.43,18,6,relationS3M,18,,,,,,,
8221,HTPN19S3M150-A,,1,17.38,19,6,relationS3M,19,,,,,,,
8222,HTPN20S3M150-A,,1,18.34,20,6,relationS3M,20,,,,,,,
8223,HTPN22S3M150-A,,1,20.25,22,6,relationS3M,22,,,,,,,
8224,HTPN24S3M150-A,,1,22.16,24,6,relationS3M,24,,,,,,,
8225,HTPN25S3M150-A,,1,23.11,25,7,relationS3M,25,,,,,,,
8226,HTPN26S3M150-A,,1,24.07,26,7,relationS3M,26,,,,,,,
8227,HTPN28S3M150-A,,1,25.98,28,7,relationS3M,28,,,,,,,
8228,HTPN30S3M150-A,,1,27.89,30,7,relationS3M,30,,,,,,,
8229,HTPN32S3M150-A,,1,29.8,32,7,relationS3M,32,,,,,,,
8230,HTPN34S3M150-A,,1,31.71,34,7,relationS3M,34,,,,,,,
8231,HTPN36S3M150-A,,1,33.62,36,7,relationS3M,36,,,,,,,
8232,HTPN40S3M150-A,,1,37.44,40,7,relationS3M,40,,,,,,,
8233,HTPN44S3M150-A,,1,41.25,44,8,relationS3M,44,,,,,,,
8234,HTPN48S3M150-A,,1,45.07,48,8,relationS3M,48,,,,,,,
8235,HTPN50S3M150-A,,1,46.98,50,8,relationS3M,50,,,,,,,
8236,HTPN60S3M150-A,,1,56.53,60,8,relationS3M,60,,,,,,,
8237,HTPN72S3M150-A,,1,67.99,72,8,relationS3M,72,,,,,,,
8238,HTPN14S3M060-K,,1,12.61,14,5,relationS3M,14,,,,,,,
8239,HTPN15S3M060-K,,1,13.56,15,5,relationS3M,15,,,,,,,
8240,HTPN16S3M060-K,,1,14.52,16,5,relationS3M,16,,,,,,,
8241,HTPN18S3M060-K,,1,16.43,18,6,relationS3M,18,,,,,,,
8242,HTPN19S3M060-K,,1,17.38,19,6,relationS3M,19,,,,,,,
8243,HTPN20S3M060-K,,1,18.34,20,6,relationS3M,20,,,,,,,
8244,HTPN22S3M060-K,,1,20.25,22,6,relationS3M,22,,,,,,,
8245,HTPN14S3M100-K,,1,12.61,14,5,relationS3M,14,,,,,,,
8246,HTPN15S3M100-K,,1,13.56,15,5,relationS3M,15,,,,,,,
8247,HTPN16S3M100-K,,1,14.52,16,5,relationS3M,16,,,,,,,
8248,HTPN18S3M100-K,,1,16.43,18,6,relationS3M,18,,,,,,,
8249,HTPN19S3M100-K,,1,17.38,19,6,relationS3M,19,,,,,,,
8250,HTPN20S3M100-K,,1,18.34,20,6,relationS3M,20,,,,,,,
8251,HTPN22S3M100-K,,1,20.25,22,6,relationS3M,22,,,,,,,
8252,HTPN14S3M150-K,,1,12.61,14,5,relationS3M,14,,,,,,,
8253,HTPN15S3M150-K,,1,13.56,15,5,relationS3M,15,,,,,,,
8254,HTPN16S3M150-K,,1,14.52,16,5,relationS3M,16,,,,,,,
8255,HTPN18S3M150-K,,1,16.43,18,6,relationS3M,18,,,,,,,
8256,HTPN19S3M150-K,,1,17.38,19,6,relationS3M,19,,,,,,,
8257,HTPN20S3M150-K,,1,18.34,20,6,relationS3M,20,,,,,,,
8258,HTPN22S3M150-K,,1,20.25,22,6,relationS3M,22,,,,,,,
8259,HTPN24S3M060-B,,1,22.16,24,6,relationS3M,24,,,,,,,
8260,HTPN25S3M060-B,,1,23.11,25,7,relationS3M,25,,,,,,,
