NO,TYPE,DRAWING,DISPFLG,#500,#501,#600,#601,#1,#602,,,,,,
102,GPA24GT2090-B,,1,14.77,,,,,,,,,,,
103,GPA25GT2090-B,,1,15.41,,,,,,,,,,,
104,GPA26GT2090-B,,1,16.04,,,,,,,,,,,
105,GPA28GT2090-B,,1,17.32,,,,,,,,,,,
106,GPA30GT2090-B,,1,18.59,,,,,,,,,,,
107,GPA32GT2090-B,,1,19.86,,,,,,,,,,,
108,GPA34GT2090-B,,1,21.14,,,,,,,,,,,
109,GPA36GT2090-B,,1,22.41,,,,,,,,,,,
110,GPA38GT2090-B,,1,23.68,,,,,,,,,,,
111,GPA40GT2090-B,,1,24.95,,,,,,,,,,,
112,GPA44GT2090-B,,1,27.5,,,,,,,,,,,
113,GPA48GT2090-B,,1,30.05,,,,,,,,,,,
114,GPA50GT2090-B,,1,31.32,,,,,,,,,,,
115,GPA60GT2090-B,,1,37.69,,,,,,,,,,,
116,GPA16GT3060-A,,1,14.52,,,,,,,,,,,
117,GPA18GT3060-A,,1,16.43,,,,,,,,,,,
118,GPA20GT3060-A,,1,18.34,,,,,,,,,,,
119,GPA16GT3090-A,,1,14.52,,,,,,,,,,,
120,GPA18GT3090-A,,1,16.43,,,,,,,,,,,
121,GPA20GT3090-A,,1,18.34,,,,,,,,,,,
122,GPA16GT3150-A,,1,14.52,,,,,,,,,,,
123,GPA18GT3150-A,,1,16.43,,,,,,,,,,,
124,GPA20GT3150-A,,1,18.34,,,,,,,,,,,
125,GPA22GT3060-A,,1,20.25,,,,,,,,,,,
126,GPA24GT3060-A,,1,22.16,,,,,,,,,,,
127,GPA25GT3060-A,,1,23.11,,,,,,,,,,,
128,GPA26GT3060-A,,1,24.07,,,,,,,,,,,
129,GPA28GT3060-A,,1,25.98,,,,,,,,,,,
130,GPA30GT3060-A,,1,27.89,,,,,,,,,,,
131,GPA32GT3060-A,,1,29.8,,,,,,,,,,,
132,GPA34GT3060-A,,1,31.71,,,,,,,,,,,
133,GPA36GT3060-A,,1,33.62,,,,,,,,,,,
134,GPA40GT3060-A,,1,37.44,,,,,,,,,,,
135,GPA44GT3060-A,,1,41.26,,,,,,,,,,,
136,GPA48GT3060-A,,1,45.08,,,,,,,,,,,
137,GPA50GT3060-A,,1,46.99,,,,,,,,,,,
138,GPA60GT3060-A,,1,56.54,,,,,,,,,,,
139,GPA22GT3090-A,,1,20.25,,,,,,,,,,,
140,GPA24GT3090-A,,1,22.16,,,,,,,,,,,
141,GPA25GT3090-A,,1,23.11,,,,,,,,,,,
142,GPA26GT3090-A,,1,24.07,,,,,,,,,,,
143,GPA28GT3090-A,,1,25.98,,,,,,,,,,,
