NO,TYPE,DRAWING,DISPFLG,#500,#501,#600,#601,#1,#602
38229,GPB62MR3150-A,test1-0.jpg,1,58.45,62,46,1.189,,
38230,GPB68MR3150-A,test1-0.jpg,1,64.18,68,46,1.189,,
38231,GPB72MR3150-A,test1-0.jpg,1,67.99,72,46,1.189,,
38232,GPK16MR3060-K,test1-2.jpg,1,14.52,16,44,1.143,,
38233,GPK17MR3060-K,test1-2.jpg,1,15.47,17,44,1.143,,
38234,GPK18MR3060-K,test1-2.jpg,1,16.43,18,44,1.143,,
38235,GPK19MR3060-K,test1-2.jpg,1,17.38,19,44,1.143,,
38236,GPK20MR3060-K,test1-2.jpg,1,18.34,20,44,1.143,,
38237,GPK21MR3060-K,test1-2.jpg,1,19.29,21,44,1.143,,
38238,GPK22MR3060-K,test1-2.jpg,1,20.25,22,44,1.143,,
38239,GPK24MR3060-B,test1-1.jpg,1,22.16,24,44,1.143,,
38240,GPK25MR3060-B,test1-1.jpg,1,23.11,25,44,1.143,,
38241,GPK26MR3060-B,test1-1.jpg,1,24.07,26,44,1.143,,
38242,GPK28MR3060-B,test1-1.jpg,1,25.98,28,45,1.166,,
38243,GPK30MR3060-B,test1-1.jpg,1,27.89,30,45,1.166,,
38244,GPK32MR3060-B,test1-1.jpg,1,29.8,32,45,1.166,,
38245,GPK34MR3060-B,test1-1.jpg,1,31.71,34,45,1.166,,
38246,GPK36MR3060-B,test1-1.jpg,1,33.62,36,45,1.166,,
38247,GPK38MR3060-B,test1-1.jpg,1,35.53,40,45,1.166,,
38248,GPK40MR3060-B,test1-1.jpg,1,37.44,42,45,1.166,,
38249,GPK44MR3060-B,test1-1.jpg,1,41.26,44,45,1.166,,
38250,GPK45MR3060-B,test1-1.jpg,1,42.21,45,45,1.166,,
38251,GPK48MR3060-B,test1-1.jpg,1,45.08,48,45,1.166,,
38252,GPK50MR3060-B,test1-1.jpg,1,46.99,50,45,1.166,,
38253,GPK56MR3060-B,test1-1.jpg,1,52.72,56,45,1.166,,
38254,GPK60MR3060-B,test1-1.jpg,1,56.54,60,46,1.189,,
38255,GPK62MR3060-B,test1-1.jpg,1,58.45,62,46,1.189,,
38256,GPK68MR3060-B,test1-1.jpg,1,64.18,68,46,1.189,,
38257,GPK72MR3060-B,test1-1.jpg,1,67.99,72,46,1.189,,
38258,GPK16MR3060-A,test1-0.jpg,1,14.52,16,44,1.143,,
38259,GPK17MR3060-A,test1-0.jpg,1,15.47,17,44,1.143,,
38260,GPK18MR3060-A,test1-0.jpg,1,16.43,18,44,1.143,,
38261,GPK19MR3060-A,test1-0.jpg,1,17.38,19,44,1.143,,
38262,GPK20MR3060-A,test1-0.jpg,1,18.34,20,44,1.143,,
38263,GPK21MR3060-A,test1-0.jpg,1,19.29,21,44,1.143,,
38264,GPK22MR3060-A,test1-0.jpg,1,20.25,22,44,1.143,,
38265,GPK24MR3060-A,test1-0.jpg,1,22.16,24,44,1.143,,
38266,GPK25MR3060-A,test1-0.jpg,1,23.11,25,44,1.143,,
38267,GPK26MR3060-A,test1-0.jpg,1,24.07,26,44,1.143,,
38268,GPK28MR3060-A,test1-0.jpg,1,25.98,28,45,1.166,,
38269,GPK30MR3060-A,test1-0.jpg,1,27.89,30,45,1.166,,
38270,GPK32MR3060-A,test1-0.jpg,1,29.8,32,45,1.166,,
38271,GPK34MR3060-A,test1-0.jpg,1,31.71,34,45,1.166,,
38272,GPK36MR3060-A,test1-0.jpg,1,33.62,36,45,1.166,,
38273,GPK38MR3060-A,test1-0.jpg,1,35.53,40,45,1.166,,
38274,GPK40MR3060-A,test1-0.jpg,1,37.44,42,45,1.166,,
38275,GPK44MR3060-A,test1-0.jpg,1,41.26,44,45,1.166,,
38276,GPK45MR3060-A,test1-0.jpg,1,42.21,45,45,1.166,,
38277,GPK48MR3060-A,test1-0.jpg,1,45.08,48,45,1.166,,
38278,GPK50MR3060-A,test1-0.jpg,1,46.99,50,45,1.166,,
