NO,TYPE,DRAWING,DISPFLG,#500,#501,#600,#601,#1,#602
38478,GPT32MR3090-A,test1-0.jpg,1,29.8,32,45,1.166,,
38479,GPT34MR3090-A,test1-0.jpg,1,31.71,34,45,1.166,,
38480,GPT36MR3090-A,test1-0.jpg,1,33.62,36,45,1.166,,
38481,GPT38MR3090-A,test1-0.jpg,1,35.53,40,45,1.166,,
38482,GPT40MR3090-A,test1-0.jpg,1,37.44,42,45,1.166,,
38483,GPT44MR3090-A,test1-0.jpg,1,41.26,44,45,1.166,,
38484,GPT45MR3090-A,test1-0.jpg,1,42.21,45,45,1.166,,
38485,GPT48MR3090-A,test1-0.jpg,1,45.08,48,45,1.166,,
38486,GPT50MR3090-A,test1-0.jpg,1,46.99,50,45,1.166,,
38487,GPT56MR3090-A,test1-0.jpg,1,52.72,56,45,1.166,,
38488,GPT60MR3090-A,test1-0.jpg,1,56.54,60,46,1.189,,
38489,GPT62MR3090-A,test1-0.jpg,1,58.45,62,46,1.189,,
38490,GPT68MR3090-A,test1-0.jpg,1,64.18,68,46,1.189,,
38491,GPT72MR3090-A,test1-0.jpg,1,67.99,72,46,1.189,,
38492,GPT16MR3150-K,test1-2.jpg,1,14.52,16,44,1.143,,
38493,GPT17MR3150-K,test1-2.jpg,1,15.47,17,44,1.143,,
38494,GPT18MR3150-K,test1-2.jpg,1,16.43,18,44,1.143,,
38495,GPT19MR3150-K,test1-2.jpg,1,17.38,19,44,1.143,,
38496,GPT20MR3150-K,test1-2.jpg,1,18.34,20,44,1.143,,
38497,GPT21MR3150-K,test1-2.jpg,1,19.29,21,44,1.143,,
38498,GPT22MR3150-K,test1-2.jpg,1,20.25,22,44,1.143,,
38499,GPT24MR3150-B,test1-1.jpg,1,22.16,24,44,1.143,,
38500,GPT25MR3150-B,test1-1.jpg,1,23.11,25,44,1.143,,
38501,GPT26MR3150-B,test1-1.jpg,1,24.07,26,44,1.143,,
38502,GPT28MR3150-B,test1-1.jpg,1,25.98,28,45,1.166,,
38503,GPT30MR3150-B,test1-1.jpg,1,27.89,30,45,1.166,,
38504,GPT32MR3150-B,test1-1.jpg,1,29.8,32,45,1.166,,
38505,GPT34MR3150-B,test1-1.jpg,1,31.71,34,45,1.166,,
38506,GPT36MR3150-B,test1-1.jpg,1,33.62,36,45,1.166,,
38507,GPT38MR3150-B,test1-1.jpg,1,35.53,40,45,1.166,,
38508,GPT40MR3150-B,test1-1.jpg,1,37.44,42,45,1.166,,
38509,GPT44MR3150-B,test1-1.jpg,1,41.26,44,45,1.166,,
38510,GPT45MR3150-B,test1-1.jpg,1,42.21,45,45,1.166,,
38511,GPT48MR3150-B,test1-1.jpg,1,45.08,48,45,1.166,,
38512,GPT50MR3150-B,test1-1.jpg,1,46.99,50,45,1.166,,
38513,GPT56MR3150-B,test1-1.jpg,1,52.72,56,45,1.166,,
38514,GPT60MR3150-B,test1-1.jpg,1,56.54,60,46,1.189,,
38515,GPT62MR3150-B,test1-1.jpg,1,58.45,62,46,1.189,,
38516,GPT68MR3150-B,test1-1.jpg,1,64.18,68,46,1.189,,
38517,GPT72MR3150-B,test1-1.jpg,1,67.99,72,46,1.189,,
38518,GPT16MR3150-A,test1-0.jpg,1,14.52,16,44,1.143,,
38519,GPT17MR3150-A,test1-0.jpg,1,15.47,17,44,1.143,,
38520,GPT18MR3150-A,test1-0.jpg,1,16.43,18,44,1.143,,
38521,GPT19MR3150-A,test1-0.jpg,1,17.38,19,44,1.143,,
38522,GPT20MR3150-A,test1-0.jpg,1,18.34,20,44,1.143,,
38523,GPT21MR3150-A,test1-0.jpg,1,19.29,21,44,1.143,,
38524,GPT22MR3150-A,test1-0.jpg,1,20.25,22,44,1.143,,
38525,GPT24MR3150-A,test1-0.jpg,1,22.16,24,44,1.143,,
38526,GPT25MR3150-A,test1-0.jpg,1,23.11,25,44,1.143,,
38527,GPT26MR3150-A,test1-0.jpg,1,24.07,26,44,1.143,,
38528,GPT28MR3150-A,test1-0.jpg,1,25.98,28,45,1.166,,
38529,GPT30MR3150-A,test1-0.jpg,1,27.89,30,45,1.166,,
38530,GPT32MR3150-A,test1-0.jpg,1,29.8,32,45,1.166,,
38531,GPT34MR3150-A,test1-0.jpg,1,31.71,34,45,1.166,,
38532,GPT36MR3150-A,test1-0.jpg,1,33.62,36,45,1.166,,
38533,GPT38MR3150-A,test1-0.jpg,1,35.53,40,45,1.166,,
38534,GPT40MR3150-A,test1-0.jpg,1,37.44,42,45,1.166,,
38535,GPT44MR3150-A,test1-0.jpg,1,41.26,44,45,1.166,,
38536,GPT45MR3150-A,test1-0.jpg,1,42.21,45,45,1.166,,
38537,GPT48MR3150-A,test1-0.jpg,1,45.08,48,45,1.166,,
38538,GPT50MR3150-A,test1-0.jpg,1,46.99,50,45,1.166,,
38539,GPT56MR3150-A,test1-0.jpg,1,52.72,56,45,1.166,,
38540,GPT60MR3150-A,test1-0.jpg,1,56.54,60,46,1.189,,
38541,GPT62MR3150-A,test1-0.jpg,1,58.45,62,46,1.189,,
38542,GPT68MR3150-A,test1-0.jpg,1,64.18,68,46,1.189,,
38543,GPT72MR3150-A,test1-0.jpg,1,67.99,72,46,1.189,,
38544,GPM16MR3060-K,test1-2.jpg,1,14.52,16,44,1.143,,
38545,GPM17MR3060-K,test1-2.jpg,1,15.47,17,44,1.143,,
38546,GPM18MR3060-K,test1-2.jpg,1,16.43,18,44,1.143,,
38547,GPM19MR3060-K,test1-2.jpg,1,17.38,19,44,1.143,,
38548,GPM20MR3060-K,test1-2.jpg,1,18.34,20,44,1.143,,
38549,GPM21MR3060-K,test1-2.jpg,1,19.29,21,44,1.143,,
38550,GPM22MR3060-K,test1-2.jpg,1,20.25,22,44,1.143,,
38551,GPM24MR3060-B,test1-1.jpg,1,22.16,24,44,1.143,,
38552,GPM25MR3060-B,test1-1.jpg,1,23.11,25,44,1.143,,
38553,GPM26MR3060-B,test1-1.jpg,1,24.07,26,44,1.143,,
38554,GPM28MR3060-B,test1-1.jpg,1,25.98,28,45,1.166,,
38555,GPM30MR3060-B,test1-1.jpg,1,27.89,30,45,1.166,,
38556,GPM32MR3060-B,test1-1.jpg,1,29.8,32,45,1.166,,
38557,GPM34MR3060-B,test1-1.jpg,1,31.71,34,45,1.166,,
38558,GPM36MR3060-B,test1-1.jpg,1,33.62,36,45,1.166,,
38559,GPM38MR3060-B,test1-1.jpg,1,35.53,40,45,1.166,,
38560,GPM40MR3060-B,test1-1.jpg,1,37.44,42,45,1.166,,
38561,GPM44MR3060-B,test1-1.jpg,1,41.26,44,45,1.166,,
38562,GPM45MR3060-B,test1-1.jpg,1,42.21,45,45,1.166,,
38563,GPM48MR3060-B,test1-1.jpg,1,45.08,48,45,1.166,,
38564,GPM50MR3060-B,test1-1.jpg,1,46.99,50,45,1.166,,
38565,GPM56MR3060-B,test1-1.jpg,1,52.72,56,45,1.166,,
38566,GPM60MR3060-B,test1-1.jpg,1,56.54,60,46,1.189,,
38567,GPM62MR3060-B,test1-1.jpg,1,58.45,62,46,1.189,,
38568,GPM68MR3060-B,test1-1.jpg,1,64.18,68,46,1.189,,
38569,GPM72MR3060-B,test1-1.jpg,1,67.99,72,46,1.189,,
38570,GPM16MR3060-A,test1-0.jpg,1,14.52,16,44,1.143,,
38571,GPM17MR3060-A,test1-0.jpg,1,15.47,17,44,1.143,,
38572,GPM18MR3060-A,test1-0.jpg,1,16.43,18,44,1.143,,
38573,GPM19MR3060-A,test1-0.jpg,1,17.38,19,44,1.143,,
38574,GPM20MR3060-A,test1-0.jpg,1,18.34,20,44,1.143,,
38575,GPM21MR3060-A,test1-0.jpg,1,19.29,21,44,1.143,,
38576,GPM22MR3060-A,test1-0.jpg,1,20.25,22,44,1.143,,
38577,GPM24MR3060-A,test1-0.jpg,1,22.16,24,44,1.143,,
38578,GPM25MR3060-A,test1-0.jpg,1,23.11,25,44,1.143,,
38579,GPM26MR3060-A,test1-0.jpg,1,24.07,26,44,1.143,,
38580,GPM28MR3060-A,test1-0.jpg,1,25.98,28,45,1.166,,
38581,GPM30MR3060-A,test1-0.jpg,1,27.89,30,45,1.166,,
38582,GPM32MR3060-A,test1-0.jpg,1,29.8,32,45,1.166,,
38583,GPM34MR3060-A,test1-0.jpg,1,31.71,34,45,1.166,,
38584,GPM36MR3060-A,test1-0.jpg,1,33.62,36,45,1.166,,
38585,GPM38MR3060-A,test1-0.jpg,1,35.53,40,45,1.166,,
38586,GPM40MR3060-A,test1-0.jpg,1,37.44,42,45,1.166,,
38587,GPM44MR3060-A,test1-0.jpg,1,41.26,44,45,1.166,,
38588,GPM45MR3060-A,test1-0.jpg,1,42.21,45,45,1.166,,
38589,GPM48MR3060-A,test1-0.jpg,1,45.08,48,45,1.166,,
38590,GPM50MR3060-A,test1-0.jpg,1,46.99,50,45,1.166,,
38591,GPM56MR3060-A,test1-0.jpg,1,52.72,56,45,1.166,,
38592,GPM60MR3060-A,test1-0.jpg,1,56.54,60,46,1.189,,
38593,GPM62MR3060-A,test1-0.jpg,1,58.45,62,46,1.189,,
38594,GPM68MR3060-A,test1-0.jpg,1,64.18,68,46,1.189,,
38595,GPM72MR3060-A,test1-0.jpg,1,67.99,72,46,1.189,,
38596,GPM16MR3090-K,test1-2.jpg,1,14.52,16,44,1.143,,
38597,GPM17MR3090-K,test1-2.jpg,1,15.47,17,44,1.143,,
38598,GPM18MR3090-K,test1-2.jpg,1,16.43,18,44,1.143,,
38599,GPM19MR3090-K,test1-2.jpg,1,17.38,19,44,1.143,,
38600,GPM20MR3090-K,test1-2.jpg,1,18.34,20,44,1.143,,
38601,GPM21MR3090-K,test1-2.jpg,1,19.29,21,44,1.143,,
38602,GPM22MR3090-K,test1-2.jpg,1,20.25,22,44,1.143,,
38603,GPM24MR3090-B,test1-1.jpg,1,22.16,24,44,1.143,,
38604,GPM25MR3090-B,test1-1.jpg,1,23.11,25,44,1.143,,
38605,GPM26MR3090-B,test1-1.jpg,1,24.07,26,44,1.143,,
38606,GPM28MR3090-B,test1-1.jpg,1,25.98,28,45,1.166,,
38607,GPM30MR3090-B,test1-1.jpg,1,27.89,30,45,1.166,,
38608,GPM32MR3090-B,test1-1.jpg,1,29.8,32,45,1.166,,
38609,GPM34MR3090-B,test1-1.jpg,1,31.71,34,45,1.166,,
38610,GPM36MR3090-B,test1-1.jpg,1,33.62,36,45,1.166,,
38611,GPM38MR3090-B,test1-1.jpg,1,35.53,40,45,1.166,,
38612,GPM40MR3090-B,test1-1.jpg,1,37.44,42,45,1.166,,
38613,GPM44MR3090-B,test1-1.jpg,1,41.26,44,45,1.166,,
38614,GPM45MR3090-B,test1-1.jpg,1,42.21,45,45,1.166,,
38615,GPM48MR3090-B,test1-1.jpg,1,45.08,48,45,1.166,,
38616,GPM50MR3090-B,test1-1.jpg,1,46.99,50,45,1.166,,
38617,GPM56MR3090-B,test1-1.jpg,1,52.72,56,45,1.166,,
38618,GPM60MR3090-B,test1-1.jpg,1,56.54,60,46,1.189,,
38619,GPM62MR3090-B,test1-1.jpg,1,58.45,62,46,1.189,,
38620,GPM68MR3090-B,test1-1.jpg,1,64.18,68,46,1.189,,
38621,GPM72MR3090-B,test1-1.jpg,1,67.99,72,46,1.189,,
38622,GPM16MR3090-A,test1-0.jpg,1,14.52,16,44,1.143,,
38623,GPM17MR3090-A,test1-0.jpg,1,15.47,17,44,1.143,,
38624,GPM18MR3090-A,test1-0.jpg,1,16.43,18,44,1.143,,
38625,GPM19MR3090-A,test1-0.jpg,1,17.38,19,44,1.143,,
38626,GPM20MR3090-A,test1-0.jpg,1,18.34,20,44,1.143,,
38627,GPM21MR3090-A,test1-0.jpg,1,19.29,21,44,1.143,,
38628,GPM22MR3090-A,test1-0.jpg,1,20.25,22,44,1.143,,
38629,GPM24MR3090-A,test1-0.jpg,1,22.16,24,44,1.143,,
38630,GPM25MR3090-A,test1-0.jpg,1,23.11,25,44,1.143,,
38631,GPM26MR3090-A,test1-0.jpg,1,24.07,26,44,1.143,,
38632,GPM28MR3090-A,test1-0.jpg,1,25.98,28,45,1.166,,
38633,GPM30MR3090-A,test1-0.jpg,1,27.89,30,45,1.166,,
38634,GPM32MR3090-A,test1-0.jpg,1,29.8,32,45,1.166,,
38635,GPM34MR3090-A,test1-0.jpg,1,31.71,34,45,1.166,,
38636,GPM36MR3090-A,test1-0.jpg,1,33.62,36,45,1.166,,
38637,GPM38MR3090-A,test1-0.jpg,1,35.53,40,45,1.166,,
38638,GPM40MR3090-A,test1-0.jpg,1,37.44,42,45,1.166,,
38639,GPM44MR3090-A,test1-0.jpg,1,41.26,44,45,1.166,,
38640,GPM45MR3090-A,test1-0.jpg,1,42.21,45,45,1.166,,
38641,GPM48MR3090-A,test1-0.jpg,1,45.08,48,45,1.166,,
38642,GPM50MR3090-A,test1-0.jpg,1,46.99,50,45,1.166,,
38643,GPM56MR3090-A,test1-0.jpg,1,52.72,56,45,1.166,,
38644,GPM60MR3090-A,test1-0.jpg,1,56.54,60,46,1.189,,
38645,GPM62MR3090-A,test1-0.jpg,1,58.45,62,46,1.189,,
38646,GPM68MR3090-A,test1-0.jpg,1,64.18,68,46,1.189,,
38647,GPM72MR3090-A,test1-0.jpg,1,67.99,72,46,1.189,,
38648,GPM16MR3150-K,test1-2.jpg,1,14.52,16,44,1.143,,
38649,GPM17MR3150-K,test1-2.jpg,1,15.47,17,44,1.143,,
38650,GPM18MR3150-K,test1-2.jpg,1,16.43,18,44,1.143,,
38651,GPM19MR3150-K,test1-2.jpg,1,17.38,19,44,1.143,,
38652,GPM20MR3150-K,test1-2.jpg,1,18.34,20,44,1.143,,
38653,GPM21MR3150-K,test1-2.jpg,1,19.29,21,44,1.143,,
38654,GPM22MR3150-K,test1-2.jpg,1,20.25,22,44,1.143,,
38655,GPM24MR3150-B,test1-1.jpg,1,22.16,24,44,1.143,,
38656,GPM25MR3150-B,test1-1.jpg,1,23.11,25,44,1.143,,
38657,GPM26MR3150-B,test1-1.jpg,1,24.07,26,44,1.143,,
38658,GPM28MR3150-B,test1-1.jpg,1,25.98,28,45,1.166,,
38659,GPM30MR3150-B,test1-1.jpg,1,27.89,30,45,1.166,,
38660,GPM32MR3150-B,test1-1.jpg,1,29.8,32,45,1.166,,
38661,GPM34MR3150-B,test1-1.jpg,1,31.71,34,45,1.166,,
38662,GPM36MR3150-B,test1-1.jpg,1,33.62,36,45,1.166,,
38663,GPM38MR3150-B,test1-1.jpg,1,35.53,40,45,1.166,,
38664,GPM40MR3150-B,test1-1.jpg,1,37.44,42,45,1.166,,
38665,GPM44MR3150-B,test1-1.jpg,1,41.26,44,45,1.166,,
38666,GPM45MR3150-B,test1-1.jpg,1,42.21,45,45,1.166,,
38667,GPM48MR3150-B,test1-1.jpg,1,45.08,48,45,1.166,,
38668,GPM50MR3150-B,test1-1.jpg,1,46.99,50,45,1.166,,
38669,GPM56MR3150-B,test1-1.jpg,1,52.72,56,45,1.166,,
38670,GPM60MR3150-B,test1-1.jpg,1,56.54,60,46,1.189,,
38671,GPM62MR3150-B,test1-1.jpg,1,58.45,62,46,1.189,,
38672,GPM68MR3150-B,test1-1.jpg,1,64.18,68,46,1.189,,
38673,GPM72MR3150-B,test1-1.jpg,1,67.99,72,46,1.189,,
38674,GPM16MR3150-A,test1-0.jpg,1,14.52,16,44,1.143,,
38675,GPM17MR3150-A,test1-0.jpg,1,15.47,17,44,1.143,,
38676,GPM18MR3150-A,test1-0.jpg,1,16.43,18,44,1.143,,
38677,GPM19MR3150-A,test1-0.jpg,1,17.38,19,44,1.143,,
38678,GPM20MR3150-A,test1-0.jpg,1,18.34,20,44,1.143,,
38679,GPM21MR3150-A,test1-0.jpg,1,19.29,21,44,1.143,,
38680,GPM22MR3150-A,test1-0.jpg,1,20.25,22,44,1.143,,
38681,GPM24MR3150-A,test1-0.jpg,1,22.16,24,44,1.143,,
38682,GPM25MR3150-A,test1-0.jpg,1,23.11,25,44,1.143,,
38683,GPM26MR3150-A,test1-0.jpg,1,24.07,26,44,1.143,,
38684,GPM28MR3150-A,test1-0.jpg,1,25.98,28,45,1.166,,
38685,GPM30MR3150-A,test1-0.jpg,1,27.89,30,45,1.166,,
38686,GPM32MR3150-A,test1-0.jpg,1,29.8,32,45,1.166,,
38687,GPM34MR3150-A,test1-0.jpg,1,31.71,34,45,1.166,,
38688,GPM36MR3150-A,test1-0.jpg,1,33.62,36,45,1.166,,
38689,GPM38MR3150-A,test1-0.jpg,1,35.53,40,45,1.166,,
38690,GPM40MR3150-A,test1-0.jpg,1,37.44,42,45,1.166,,
38691,GPM44MR3150-A,test1-0.jpg,1,41.26,44,45,1.166,,
38692,GPM45MR3150-A,test1-0.jpg,1,42.21,45,45,1.166,,
38693,GPM48MR3150-A,test1-0.jpg,1,45.08,48,45,1.166,,
38694,GPM50MR3150-A,test1-0.jpg,1,46.99,50,45,1.166,,
38695,GPM56MR3150-A,test1-0.jpg,1,52.72,56,45,1.166,,
38696,GPM60MR3150-A,test1-0.jpg,1,56.54,60,46,1.189,,
38697,GPM62MR3150-A,test1-0.jpg,1,58.45,62,46,1.189,,
38698,GPM68MR3150-A,test1-0.jpg,1,64.18,68,46,1.189,,
38699,GPM72MR3150-A,test1-0.jpg,1,67.99,72,46,1.189,,
38700,GPP16MR3060-K,test1-2.jpg,1,14.52,16,44,1.143,,
38701,GPP17MR3060-K,test1-2.jpg,1,15.47,17,44,1.143,,
38702,GPP18MR3060-K,test1-2.jpg,1,16.43,18,44,1.143,,
38703,GPP19MR3060-K,test1-2.jpg,1,17.38,19,44,1.143,,
38704,GPP20MR3060-K,test1-2.jpg,1,18.34,20,44,1.143,,
38705,GPP21MR3060-K,test1-2.jpg,1,19.29,21,44,1.143,,
38706,GPP22MR3060-K,test1-2.jpg,1,20.25,22,44,1.143,,
38707,GPP24MR3060-B,test1-1.jpg,1,22.16,24,44,1.143,,
38708,GPP25MR3060-B,test1-1.jpg,1,23.11,25,44,1.143,,
38709,GPP26MR3060-B,test1-1.jpg,1,24.07,26,44,1.143,,
38710,GPP28MR3060-B,test1-1.jpg,1,25.98,28,45,1.166,,
38711,GPP30MR3060-B,test1-1.jpg,1,27.89,30,45,1.166,,
38712,GPP32MR3060-B,test1-1.jpg,1,29.8,32,45,1.166,,
38713,GPP34MR3060-B,test1-1.jpg,1,31.71,34,45,1.166,,
38714,GPP36MR3060-B,test1-1.jpg,1,33.62,36,45,1.166,,
38715,GPP38MR3060-B,test1-1.jpg,1,35.53,40,45,1.166,,
38716,GPP40MR3060-B,test1-1.jpg,1,37.44,42,45,1.166,,
38717,GPP44MR3060-B,test1-1.jpg,1,41.26,44,45,1.166,,
38718,GPP45MR3060-B,test1-1.jpg,1,42.21,45,45,1.166,,
38719,GPP48MR3060-B,test1-1.jpg,1,45.08,48,45,1.166,,
38720,GPP50MR3060-B,test1-1.jpg,1,46.99,50,45,1.166,,
38721,GPP56MR3060-B,test1-1.jpg,1,52.72,56,45,1.166,,
38722,GPP60MR3060-B,test1-1.jpg,1,56.54,60,46,1.189,,
38723,GPP62MR3060-B,test1-1.jpg,1,58.45,62,46,1.189,,
38724,GPP68MR3060-B,test1-1.jpg,1,64.18,68,46,1.189,,
38725,GPP72MR3060-B,test1-1.jpg,1,67.99,72,46,1.189,,
38726,GPP16MR3060-A,test1-0.jpg,1,14.52,16,44,1.143,,
38727,GPP17MR3060-A,test1-0.jpg,1,15.47,17,44,1.143,,
38728,GPP18MR3060-A,test1-0.jpg,1,16.43,18,44,1.143,,
38729,GPP19MR3060-A,test1-0.jpg,1,17.38,19,44,1.143,,
38730,GPP20MR3060-A,test1-0.jpg,1,18.34,20,44,1.143,,
38731,GPP21MR3060-A,test1-0.jpg,1,19.29,21,44,1.143,,
38732,GPP22MR3060-A,test1-0.jpg,1,20.25,22,44,1.143,,
38733,GPP24MR3060-A,test1-0.jpg,1,22.16,24,44,1.143,,
38734,GPP25MR3060-A,test1-0.jpg,1,23.11,25,44,1.143,,
38735,GPP26MR3060-A,test1-0.jpg,1,24.07,26,44,1.143,,
38736,GPP28MR3060-A,test1-0.jpg,1,25.98,28,45,1.166,,
38737,GPP30MR3060-A,test1-0.jpg,1,27.89,30,45,1.166,,
38738,GPP32MR3060-A,test1-0.jpg,1,29.8,32,45,1.166,,
38739,GPP34MR3060-A,test1-0.jpg,1,31.71,34,45,1.166,,
38740,GPP36MR3060-A,test1-0.jpg,1,33.62,36,45,1.166,,
38741,GPP38MR3060-A,test1-0.jpg,1,35.53,40,45,1.166,,
38742,GPP40MR3060-A,test1-0.jpg,1,37.44,42,45,1.166,,
38743,GPP44MR3060-A,test1-0.jpg,1,41.26,44,45,1.166,,
38744,GPP45MR3060-A,test1-0.jpg,1,42.21,45,45,1.166,,
38745,GPP48MR3060-A,test1-0.jpg,1,45.08,48,45,1.166,,
38746,GPP50MR3060-A,test1-0.jpg,1,46.99,50,45,1.166,,
38747,GPP56MR3060-A,test1-0.jpg,1,52.72,56,45,1.166,,
38748,GPP60MR3060-A,test1-0.jpg,1,56.54,60,46,1.189,,
38749,GPP62MR3060-A,test1-0.jpg,1,58.45,62,46,1.189,,
38750,GPP68MR3060-A,test1-0.jpg,1,64.18,68,46,1.189,,
38751,GPP72MR3060-A,test1-0.jpg,1,67.99,72,46,1.189,,
38752,GPP16MR3090-K,test1-2.jpg,1,14.52,16,44,1.143,,
38753,GPP17MR3090-K,test1-2.jpg,1,15.47,17,44,1.143,,
38754,GPP18MR3090-K,test1-2.jpg,1,16.43,18,44,1.143,,
38755,GPP19MR3090-K,test1-2.jpg,1,17.38,19,44,1.143,,
38756,GPP20MR3090-K,test1-2.jpg,1,18.34,20,44,1.143,,
38757,GPP21MR3090-K,test1-2.jpg,1,19.29,21,44,1.143,,
38758,GPP22MR3090-K,test1-2.jpg,1,20.25,22,44,1.143,,
38759,GPP24MR3090-B,test1-1.jpg,1,22.16,24,44,1.143,,
38760,GPP25MR3090-B,test1-1.jpg,1,23.11,25,44,1.143,,
38761,GPP26MR3090-B,test1-1.jpg,1,24.07,26,44,1.143,,
38762,GPP28MR3090-B,test1-1.jpg,1,25.98,28,45,1.166,,
38763,GPP30MR3090-B,test1-1.jpg,1,27.89,30,45,1.166,,
38764,GPP32MR3090-B,test1-1.jpg,1,29.8,32,45,1.166,,
38765,GPP34MR3090-B,test1-1.jpg,1,31.71,34,45,1.166,,
38766,GPP36MR3090-B,test1-1.jpg,1,33.62,36,45,1.166,,
38767,GPP38MR3090-B,test1-1.jpg,1,35.53,40,45,1.166,,
38768,GPP40MR3090-B,test1-1.jpg,1,37.44,42,45,1.166,,
38769,GPP44MR3090-B,test1-1.jpg,1,41.26,44,45,1.166,,
38770,GPP45MR3090-B,test1-1.jpg,1,42.21,45,45,1.166,,
38771,GPP48MR3090-B,test1-1.jpg,1,45.08,48,45,1.166,,
38772,GPP50MR3090-B,test1-1.jpg,1,46.99,50,45,1.166,,
38773,GPP56MR3090-B,test1-1.jpg,1,52.72,56,45,1.166,,
38774,GPP60MR3090-B,test1-1.jpg,1,56.54,60,46,1.189,,
38775,GPP62MR3090-B,test1-1.jpg,1,58.45,62,46,1.189,,
38776,GPP68MR3090-B,test1-1.jpg,1,64.18,68,46,1.189,,
38777,GPP72MR3090-B,test1-1.jpg,1,67.99,72,46,1.189,,
38778,GPP16MR3090-A,test1-0.jpg,1,14.52,16,44,1.143,,
38779,GPP17MR3090-A,test1-0.jpg,1,15.47,17,44,1.143,,
38780,GPP18MR3090-A,test1-0.jpg,1,16.43,18,44,1.143,,
38781,GPP19MR3090-A,test1-0.jpg,1,17.38,19,44,1.143,,
38782,GPP20MR3090-A,test1-0.jpg,1,18.34,20,44,1.143,,
38783,GPP21MR3090-A,test1-0.jpg,1,19.29,21,44,1.143,,
38784,GPP22MR3090-A,test1-0.jpg,1,20.25,22,44,1.143,,
38785,GPP24MR3090-A,test1-0.jpg,1,22.16,24,44,1.143,,
38786,GPP25MR3090-A,test1-0.jpg,1,23.11,25,44,1.143,,
38787,GPP26MR3090-A,test1-0.jpg,1,24.07,26,44,1.143,,
38788,GPP28MR3090-A,test1-0.jpg,1,25.98,28,45,1.166,,
38789,GPP30MR3090-A,test1-0.jpg,1,27.89,30,45,1.166,,
38790,GPP32MR3090-A,test1-0.jpg,1,29.8,32,45,1.166,,
38791,GPP34MR3090-A,test1-0.jpg,1,31.71,34,45,1.166,,
38792,GPP36MR3090-A,test1-0.jpg,1,33.62,36,45,1.166,,
38793,GPP38MR3090-A,test1-0.jpg,1,35.53,40,45,1.166,,
38794,GPP40MR3090-A,test1-0.jpg,1,37.44,42,45,1.166,,
38795,GPP44MR3090-A,test1-0.jpg,1,41.26,44,45,1.166,,
38796,GPP45MR3090-A,test1-0.jpg,1,42.21,45,45,1.166,,
38797,GPP48MR3090-A,test1-0.jpg,1,45.08,48,45,1.166,,
38798,GPP50MR3090-A,test1-0.jpg,1,46.99,50,45,1.166,,
38799,GPP56MR3090-A,test1-0.jpg,1,52.72,56,45,1.166,,
38800,GPP60MR3090-A,test1-0.jpg,1,56.54,60,46,1.189,,
38801,GPP62MR3090-A,test1-0.jpg,1,58.45,62,46,1.189,,
38802,GPP68MR3090-A,test1-0.jpg,1,64.18,68,46,1.189,,
38803,GPP72MR3090-A,test1-0.jpg,1,67.99,72,46,1.189,,
38804,GPP16MR3150-K,test1-2.jpg,1,14.52,16,44,1.143,,
38805,GPP17MR3150-K,test1-2.jpg,1,15.47,17,44,1.143,,
38806,GPP18MR3150-K,test1-2.jpg,1,16.43,18,44,1.143,,
38807,GPP19MR3150-K,test1-2.jpg,1,17.38,19,44,1.143,,
38808,GPP20MR3150-K,test1-2.jpg,1,18.34,20,44,1.143,,
38809,GPP21MR3150-K,test1-2.jpg,1,19.29,21,44,1.143,,
38810,GPP22MR3150-K,test1-2.jpg,1,20.25,22,44,1.143,,
38811,GPP24MR3150-B,test1-1.jpg,1,22.16,24,44,1.143,,
38812,GPP25MR3150-B,test1-1.jpg,1,23.11,25,44,1.143,,
38813,GPP26MR3150-B,test1-1.jpg,1,24.07,26,44,1.143,,
38814,GPP28MR3150-B,test1-1.jpg,1,25.98,28,45,1.166,,
38815,GPP30MR3150-B,test1-1.jpg,1,27.89,30,45,1.166,,
38816,GPP32MR3150-B,test1-1.jpg,1,29.8,32,45,1.166,,
38817,GPP34MR3150-B,test1-1.jpg,1,31.71,34,45,1.166,,
38818,GPP36MR3150-B,test1-1.jpg,1,33.62,36,45,1.166,,
38819,GPP38MR3150-B,test1-1.jpg,1,35.53,40,45,1.166,,
38820,GPP40MR3150-B,test1-1.jpg,1,37.44,42,45,1.166,,
38821,GPP44MR3150-B,test1-1.jpg,1,41.26,44,45,1.166,,
38822,GPP45MR3150-B,test1-1.jpg,1,42.21,45,45,1.166,,
38823,GPP48MR3150-B,test1-1.jpg,1,45.08,48,45,1.166,,
38824,GPP50MR3150-B,test1-1.jpg,1,46.99,50,45,1.166,,
38825,GPP56MR3150-B,test1-1.jpg,1,52.72,56,45,1.166,,
38826,GPP60MR3150-B,test1-1.jpg,1,56.54,60,46,1.189,,
38827,GPP62MR3150-B,test1-1.jpg,1,58.45,62,46,1.189,,
38828,GPP68MR3150-B,test1-1.jpg,1,64.18,68,46,1.189,,
38829,GPP72MR3150-B,test1-1.jpg,1,67.99,72,46,1.189,,
38830,GPP16MR3150-A,test1-0.jpg,1,14.52,16,44,1.143,,
38831,GPP17MR3150-A,test1-0.jpg,1,15.47,17,44,1.143,,
38832,GPP18MR3150-A,test1-0.jpg,1,16.43,18,44,1.143,,
38833,GPP19MR3150-A,test1-0.jpg,1,17.38,19,44,1.143,,
38834,GPP20MR3150-A,test1-0.jpg,1,18.34,20,44,1.143,,
