DEFINE,STR,BEFORE,AFTER,CHNGVL,CALC
defineBC,BC,BC0,0,,
defineBC,BC,BC1,1,,
defineBC,BC,BC2,2,,
defineBC,BC,BC3,3,,
defineBC,BC,BC4,4,,
defineBC,BC,BC5,5,,
defineBC,BC,BC6,6,,
defineBC,BC,BC7,7,,
defineBC,BC,BC8,8,,
defineBC,BC,BC9,9,,
defineBTC,BTC,BTC0,0,,
defineBTC,BTC,BTC1,1,,
defineBTC,BTC,BTC2,2,,
defineBTC,BTC,BTC3,3,,
defineBTC,BTC,BTC4,4,,
defineBTC,BTC,BTC5,5,,
defineBTC,BTC,BTC6,6,,
defineBTC,BTC,BTC7,7,,
defineBTC,BTC,BTC8,8,,
defineBTC,BTC,BTC9,9,,
defineTL,TL,TL0,0,,
defineTL,TL,TL1,1,,
defineTL,TL,TL2,2,,
defineTL,TL,TL3,3,,
defineTL,TL,TL4,4,,
defineTL,TL,TL5,5,,
defineTL,TL,TL6,6,,
defineTL,TL,TL7,7,,
defineTL,TL,TL8,8,,
defineTL,TL,TL9,9,,
defineH,H,H0,0,,
defineH,H,H1,1,,
defineH,H,H2,2,,
defineH,H,H3,3,,
defineH,H,H4,4,,
defineH,H,H5,5,,
defineH,H,H6,6,,
defineH,H,H7,7,,
defineH,H,H8,8,,
defineH,H,H9,9,,
defineP,P,P0,0,,
defineP,P,P1,1,,
defineP,P,P2,2,,
defineP,P,P3,3,,
defineP,P,P4,4,,
defineP,P,P5,5,,
defineP,P,P6,6,,
defineP,P,P7,7,,
defineP,P,P8,8,,
defineP,P,P9,9,,
defineN,N,N0,0,,
defineN,N,N1,1,,
defineN,N,N2,2,,
defineN,N,N3,3,,
defineN,N,N4,4,,
defineN,N,N5,5,,
defineN,N,N6,6,,
defineN,N,N7,7,,
defineN,N,N8,8,,
defineN,N,N9,9,,
defineHU,HU,HUA,3.175,,
defineHU,HU,HUB,4.763,,
defineHU,HU,HUC,6.35,,
defineHU,HU,HUD,7.938,,
defineHU,HU,HUE,9.525,,
defineHU,HU,HUEF,11.113,,
defineHU,HU,HUF,12.7,,
defineHU,HU,HUFG,14.288,,
defineHU,HU,HUG,15.875,,
defineHU,HU,HUGH,17.463,,
defineHU,HU,HUH,19.05,,
defineHU,HU,HUHJ,20.638,,
defineHU,HU,HUJ,22.225,,
defineHU,HU,HUJK,23.813,,
defineHU,HU,HUK,25.4,,
defineHU,HU,HUKLA,27,,
defineHU,HU,HUKLB,28.575,,
defineHU,HU,HUKLC,30.163,,
defineHU,HU,HUL,31.75,,
defineHU,HU,HULM,33.338,,
defineHU,HU,HUM,34.925,,
defineHU,HU,HUMN,36.513,,
defineHU,HU,HUN,38.1,,
defineHU,HU,HUP,41.275,,
defineHU,HU,HUPQ,42.875,,
defineHU,HU,HUQ,44.45,,
defineHU,HU,HUQR,46.05,,
defineHU,HU,HUR,47.625,,
defineHU,HU,HURS,49.225,,
defineHU,HU,HUS,50.8,,
definePU,PU,PUA,3.175,,
definePU,PU,PUB,4.763,,
definePU,PU,PUC,6.35,,
definePU,PU,PUD,7.938,,
definePU,PU,PUE,9.525,,
definePU,PU,PUEF,11.113,,
definePU,PU,PUF,12.7,,
definePU,PU,PUFG,14.288,,
definePU,PU,PUG,15.875,,
definePU,PU,PUGH,17.463,,
definePU,PU,PUH,19.05,,
definePU,PU,PUHJ,20.638,,
definePU,PU,PUJ,22.225,,
definePU,PU,PUJK,23.813,,
definePU,PU,PUK,25.4,,
definePU,PU,PUKLA,27,,
definePU,PU,PUKLB,28.575,,
definePU,PU,PUKLC,30.163,,
definePU,PU,PUL,31.75,,
definePU,PU,PULM,33.338,,
definePU,PU,PUM,34.925,,
definePU,PU,PUMN,36.513,,
definePU,PU,PUN,38.1,,
definePU,PU,PUP,41.275,,
definePU,PU,PUPQ,42.875,,
definePU,PU,PUQ,44.45,,
definePU,PU,PUQR,46.05,,
definePU,PU,PUR,47.625,,
definePU,PU,PURS,49.225,,
definePU,PU,PUS,50.8,,
defineNU,NU,NUA,3.175,,
defineNU,NU,NUB,4.763,,
defineNU,NU,NUC,6.35,,
defineNU,NU,NUD,7.938,,
defineNU,NU,NUE,9.525,,
defineNU,NU,NUEF,11.113,,
defineNU,NU,NUF,12.7,,
defineNU,NU,NUFG,14.288,,
defineNU,NU,NUG,15.875,,
defineNU,NU,NUGH,17.463,,
defineNU,NU,NUH,19.05,,
defineNU,NU,NUHJ,20.638,,
defineNU,NU,NUJ,22.225,,
defineNU,NU,NUJK,23.813,,
defineNU,NU,NUK,25.4,,
defineNU,NU,NUKLA,27,,
defineNU,NU,NUKLB,28.575,,
defineNU,NU,NUKLC,30.163,,
defineNU,NU,NUL,31.75,,
defineNU,NU,NULM,33.338,,
defineNU,NU,NUM,34.925,,
defineNU,NU,NUMN,36.513,,
defineNU,NU,NUN,38.1,,
defineNU,NU,NUP,41.275,,
defineNU,NU,NUPQ,42.875,,
defineNU,NU,NUQ,44.45,,
defineNU,NU,NUQR,46.05,,
defineNU,NU,NUR,47.625,,
defineNU,NU,NURS,49.225,,
defineNU,NU,NUS,50.8,,
defineY,Y,Y0,0,,
defineY,Y,Y1,1,,
defineY,Y,Y2,2,,
defineY,Y,Y3,3,,
defineY,Y,Y4,4,,
defineY,Y,Y5,5,,
defineY,Y,Y6,6,,
defineY,Y,Y7,7,,
defineY,Y,Y8,8,,
defineY,Y,Y9,9,,
