part_id,part_type,timestamp,center_x_pixel,center_y_pixel,diameter_pixel,width_pixel,height_pixel,diameter_mm,width_mm,height_mm,nominal_size,tolerance,is_qualified,deviation,image_path
,圆形,2026-02-10 08:53:52,455.77515,717.8833,0.00019999999494757503,,,1.9599999504862353e-05,,,10.0,0.022,False,-9.999980400000496,data/images\_20260210_085352.jpg
,矩形,2026-02-10 08:54:13,452.5,719.0,,1.0,0.0,,0.098,0.0,10.0,0.022,False,-9.902,data/images\_20260210_085413.jpg
